,model_type,model_num,epoch,token_category,target_category,category_similarity
0,transformer,1,0,A,A_Illegal,0.06376
1,transformer,1,0,A,A_Legal,0.32339
3,transformer,1,0,A,B_Illegal,-0.0721
4,transformer,1,0,A,B_Legal,0.09229
5,transformer,1,0,A,B_Omitted,-0.13068
6,transformer,1,0,B,A_Illegal,-0.0721
7,transformer,1,0,B,A_Legal,0.09229
8,transformer,1,0,B,A_Omitted,-0.13068
9,transformer,1,0,B,B_Illegal,-0.03348
10,transformer,1,0,B,B_Legal,0.39057
12,transformer,1,10,A,A_Illegal,0.06196
13,transformer,1,10,A,A_Legal,0.31912
15,transformer,1,10,A,B_Illegal,-0.08114
16,transformer,1,10,A,B_Legal,0.09281
17,transformer,1,10,A,B_Omitted,-0.13168
18,transformer,1,10,B,A_Illegal,-0.08114
19,transformer,1,10,B,A_Legal,0.09281
20,transformer,1,10,B,A_Omitted,-0.13168
21,transformer,1,10,B,B_Illegal,-0.02829
22,transformer,1,10,B,B_Legal,0.4014
24,transformer,1,20,A,A_Illegal,0.08438
25,transformer,1,20,A,A_Legal,0.32521
27,transformer,1,20,A,B_Illegal,-0.09404
28,transformer,1,20,A,B_Legal,0.0978
29,transformer,1,20,A,B_Omitted,-0.12627
30,transformer,1,20,B,A_Illegal,-0.09404
31,transformer,1,20,B,A_Legal,0.0978
32,transformer,1,20,B,A_Omitted,-0.12627
33,transformer,1,20,B,B_Illegal,-0.01157
34,transformer,1,20,B,B_Legal,0.42196
36,transformer,1,30,A,A_Illegal,0.12351
37,transformer,1,30,A,A_Legal,0.35276
39,transformer,1,30,A,B_Illegal,-0.1129
40,transformer,1,30,A,B_Legal,0.08773
41,transformer,1,30,A,B_Omitted,-0.12505
42,transformer,1,30,B,A_Illegal,-0.1129
43,transformer,1,30,B,A_Legal,0.08773
44,transformer,1,30,B,A_Omitted,-0.12505
45,transformer,1,30,B,B_Illegal,0.02076
46,transformer,1,30,B,B_Legal,0.45176
48,transformer,1,40,A,A_Illegal,0.18513
49,transformer,1,40,A,A_Legal,0.4085
51,transformer,1,40,A,B_Illegal,-0.1371
52,transformer,1,40,A,B_Legal,0.05295
53,transformer,1,40,A,B_Omitted,-0.13372
54,transformer,1,40,B,A_Illegal,-0.1371
55,transformer,1,40,B,A_Legal,0.05295
56,transformer,1,40,B,A_Omitted,-0.13372
57,transformer,1,40,B,B_Illegal,0.08919
58,transformer,1,40,B,B_Legal,0.49245
60,transformer,1,50,A,A_Illegal,0.27006
61,transformer,1,50,A,A_Legal,0.48354
63,transformer,1,50,A,B_Illegal,-0.18053
64,transformer,1,50,A,B_Legal,-0.0153
65,transformer,1,50,A,B_Omitted,-0.16599
66,transformer,1,50,B,A_Illegal,-0.18053
67,transformer,1,50,B,A_Legal,-0.0153
68,transformer,1,50,B,A_Omitted,-0.16599
69,transformer,1,50,B,B_Illegal,0.19025
70,transformer,1,50,B,B_Legal,0.55087
72,transformer,1,60,A,A_Illegal,0.34518
73,transformer,1,60,A,A_Legal,0.55224
75,transformer,1,60,A,B_Illegal,-0.22609
76,transformer,1,60,A,B_Legal,-0.0819
77,transformer,1,60,A,B_Omitted,-0.20305
78,transformer,1,60,B,A_Illegal,-0.22609
79,transformer,1,60,B,A_Legal,-0.0819
80,transformer,1,60,B,A_Omitted,-0.20305
81,transformer,1,60,B,B_Illegal,0.25989
82,transformer,1,60,B,B_Legal,0.60482
84,transformer,1,70,A,A_Illegal,0.36922
85,transformer,1,70,A,A_Legal,0.58996
87,transformer,1,70,A,B_Illegal,-0.25796
88,transformer,1,70,A,B_Legal,-0.11424
89,transformer,1,70,A,B_Omitted,-0.22096
90,transformer,1,70,B,A_Illegal,-0.25796
91,transformer,1,70,B,A_Legal,-0.11424
92,transformer,1,70,B,A_Omitted,-0.22096
93,transformer,1,70,B,B_Illegal,0.28148
94,transformer,1,70,B,B_Legal,0.64016
96,transformer,1,80,A,A_Illegal,0.35457
97,transformer,1,80,A,A_Legal,0.60993
99,transformer,1,80,A,B_Illegal,-0.2805
100,transformer,1,80,A,B_Legal,-0.12243
101,transformer,1,80,A,B_Omitted,-0.22256
102,transformer,1,80,B,A_Illegal,-0.2805
103,transformer,1,80,B,A_Legal,-0.12243
104,transformer,1,80,B,A_Omitted,-0.22256
105,transformer,1,80,B,B_Illegal,0.27724
106,transformer,1,80,B,B_Legal,0.663
108,transformer,1,90,A,A_Illegal,0.32152
109,transformer,1,90,A,A_Legal,0.62384
111,transformer,1,90,A,B_Illegal,-0.30421
112,transformer,1,90,A,B_Legal,-0.11676
113,transformer,1,90,A,B_Omitted,-0.21
114,transformer,1,90,B,A_Illegal,-0.30421
115,transformer,1,90,B,A_Legal,-0.11676
116,transformer,1,90,B,A_Omitted,-0.21
117,transformer,1,90,B,B_Illegal,0.24656
118,transformer,1,90,B,B_Legal,0.68355
120,transformer,2,0,A,A_Illegal,-0.05572
121,transformer,2,0,A,A_Legal,0.26739
123,transformer,2,0,A,B_Illegal,-0.0095
124,transformer,2,0,A,B_Legal,0.05337
125,transformer,2,0,A,B_Omitted,-0.06665
126,transformer,2,0,B,A_Illegal,-0.0095
127,transformer,2,0,B,A_Legal,0.05337
128,transformer,2,0,B,A_Omitted,-0.06665
129,transformer,2,0,B,B_Illegal,-0.06954
130,transformer,2,0,B,B_Legal,0.29675
132,transformer,2,10,A,A_Illegal,-0.05526
133,transformer,2,10,A,A_Legal,0.27408
135,transformer,2,10,A,B_Illegal,-0.00957
136,transformer,2,10,A,B_Legal,0.0631
137,transformer,2,10,A,B_Omitted,-0.06351
138,transformer,2,10,B,A_Illegal,-0.00957
139,transformer,2,10,B,A_Legal,0.0631
140,transformer,2,10,B,A_Omitted,-0.06351
141,transformer,2,10,B,B_Illegal,-0.06952
142,transformer,2,10,B,B_Legal,0.30318
144,transformer,2,20,A,A_Illegal,-0.05899
145,transformer,2,20,A,A_Legal,0.28355
147,transformer,2,20,A,B_Illegal,-0.01679
148,transformer,2,20,A,B_Legal,0.07472
149,transformer,2,20,A,B_Omitted,-0.05729
150,transformer,2,20,B,A_Illegal,-0.01679
151,transformer,2,20,B,A_Legal,0.07472
152,transformer,2,20,B,A_Omitted,-0.05729
153,transformer,2,20,B,B_Illegal,-0.06979
154,transformer,2,20,B,B_Legal,0.31214
156,transformer,2,30,A,A_Illegal,-0.06015
157,transformer,2,30,A,A_Legal,0.29774
159,transformer,2,30,A,B_Illegal,-0.02278
160,transformer,2,30,A,B_Legal,0.08791
161,transformer,2,30,A,B_Omitted,-0.04887
162,transformer,2,30,B,A_Illegal,-0.02278
163,transformer,2,30,B,A_Legal,0.08791
164,transformer,2,30,B,A_Omitted,-0.04887
165,transformer,2,30,B,B_Illegal,-0.0651
166,transformer,2,30,B,B_Legal,0.3228
168,transformer,2,40,A,A_Illegal,-0.05223
169,transformer,2,40,A,A_Legal,0.31835
171,transformer,2,40,A,B_Illegal,-0.02449
172,transformer,2,40,A,B_Legal,0.10517
173,transformer,2,40,A,B_Omitted,-0.0357
174,transformer,2,40,B,A_Illegal,-0.02449
175,transformer,2,40,B,A_Legal,0.10517
176,transformer,2,40,B,A_Omitted,-0.0357
177,transformer,2,40,B,B_Illegal,-0.05633
178,transformer,2,40,B,B_Legal,0.3398
180,transformer,2,50,A,A_Illegal,-0.03285
181,transformer,2,50,A,A_Legal,0.34481
183,transformer,2,50,A,B_Illegal,-0.01928
184,transformer,2,50,A,B_Legal,0.12923
185,transformer,2,50,A,B_Omitted,-0.01371
186,transformer,2,50,B,A_Illegal,-0.01928
187,transformer,2,50,B,A_Legal,0.12923
188,transformer,2,50,B,A_Omitted,-0.01371
189,transformer,2,50,B,B_Illegal,-0.04214
190,transformer,2,50,B,B_Legal,0.36397
192,transformer,2,60,A,A_Illegal,-0.00799
193,transformer,2,60,A,A_Legal,0.37335
195,transformer,2,60,A,B_Illegal,-0.01356
196,transformer,2,60,A,B_Legal,0.15346
197,transformer,2,60,A,B_Omitted,0.01297
198,transformer,2,60,B,A_Illegal,-0.01356
199,transformer,2,60,B,A_Legal,0.15346
200,transformer,2,60,B,A_Omitted,0.01297
201,transformer,2,60,B,B_Illegal,-0.02224
202,transformer,2,60,B,B_Legal,0.39274
204,transformer,2,70,A,A_Illegal,0.02797
205,transformer,2,70,A,A_Legal,0.41282
207,transformer,2,70,A,B_Illegal,-0.02316
208,transformer,2,70,A,B_Legal,0.16641
209,transformer,2,70,A,B_Omitted,0.03576
210,transformer,2,70,B,A_Illegal,-0.02316
211,transformer,2,70,B,A_Legal,0.16641
212,transformer,2,70,B,A_Omitted,0.03576
213,transformer,2,70,B,B_Illegal,-0.00664
214,transformer,2,70,B,B_Legal,0.42203
216,transformer,2,80,A,A_Illegal,0.08048
217,transformer,2,80,A,A_Legal,0.47076
219,transformer,2,80,A,B_Illegal,-0.0608
220,transformer,2,80,A,B_Legal,0.15316
221,transformer,2,80,A,B_Omitted,0.04076
222,transformer,2,80,B,A_Illegal,-0.0608
223,transformer,2,80,B,A_Legal,0.15316
224,transformer,2,80,B,A_Omitted,0.04076
225,transformer,2,80,B,B_Illegal,0.00994
226,transformer,2,80,B,B_Legal,0.45776
228,transformer,2,90,A,A_Illegal,0.13934
229,transformer,2,90,A,A_Legal,0.53967
231,transformer,2,90,A,B_Illegal,-0.12898
232,transformer,2,90,A,B_Legal,0.1125
233,transformer,2,90,A,B_Omitted,0.01977
234,transformer,2,90,B,A_Illegal,-0.12898
235,transformer,2,90,B,A_Legal,0.1125
236,transformer,2,90,B,A_Omitted,0.01977
237,transformer,2,90,B,B_Illegal,0.03438
238,transformer,2,90,B,B_Legal,0.50715
240,transformer,3,0,A,A_Illegal,-0.0324
241,transformer,3,0,A,A_Legal,0.34932
243,transformer,3,0,A,B_Illegal,0.08976
244,transformer,3,0,A,B_Legal,-0.05349
245,transformer,3,0,A,B_Omitted,-0.02064
246,transformer,3,0,B,A_Illegal,0.08976
247,transformer,3,0,B,A_Legal,-0.05349
248,transformer,3,0,B,A_Omitted,-0.02064
249,transformer,3,0,B,B_Illegal,-0.09677
250,transformer,3,0,B,B_Legal,0.41274
252,transformer,3,10,A,A_Illegal,-0.02519
253,transformer,3,10,A,A_Legal,0.36313
255,transformer,3,10,A,B_Illegal,0.09421
256,transformer,3,10,A,B_Legal,-0.05493
257,transformer,3,10,A,B_Omitted,-0.03165
258,transformer,3,10,B,A_Illegal,0.09421
259,transformer,3,10,B,A_Legal,-0.05493
260,transformer,3,10,B,A_Omitted,-0.03165
261,transformer,3,10,B,B_Illegal,-0.07742
262,transformer,3,10,B,B_Legal,0.4338
264,transformer,3,20,A,A_Illegal,0.00741
265,transformer,3,20,A,A_Legal,0.38774
267,transformer,3,20,A,B_Illegal,0.06115
268,transformer,3,20,A,B_Legal,-0.07676
269,transformer,3,20,A,B_Omitted,-0.07622
270,transformer,3,20,B,A_Illegal,0.06115
271,transformer,3,20,B,A_Legal,-0.07676
272,transformer,3,20,B,A_Omitted,-0.07622
273,transformer,3,20,B,B_Illegal,-0.02547
274,transformer,3,20,B,B_Legal,0.4686
276,transformer,3,30,A,A_Illegal,0.08527
277,transformer,3,30,A,A_Legal,0.43668
279,transformer,3,30,A,B_Illegal,-0.01354
280,transformer,3,30,A,B_Legal,-0.12501
281,transformer,3,30,A,B_Omitted,-0.14592
282,transformer,3,30,B,A_Illegal,-0.01354
283,transformer,3,30,B,A_Legal,-0.12501
284,transformer,3,30,B,A_Omitted,-0.14592
285,transformer,3,30,B,B_Illegal,0.05862
286,transformer,3,30,B,B_Legal,0.51698
288,transformer,3,40,A,A_Illegal,0.17423
289,transformer,3,40,A,A_Legal,0.49658
291,transformer,3,40,A,B_Illegal,-0.0962
292,transformer,3,40,A,B_Legal,-0.18641
293,transformer,3,40,A,B_Omitted,-0.22065
294,transformer,3,40,B,A_Illegal,-0.0962
295,transformer,3,40,B,A_Legal,-0.18641
296,transformer,3,40,B,A_Omitted,-0.22065
297,transformer,3,40,B,B_Illegal,0.15031
298,transformer,3,40,B,B_Legal,0.57314
300,transformer,3,50,A,A_Illegal,0.25076
301,transformer,3,50,A,A_Legal,0.5511
303,transformer,3,50,A,B_Illegal,-0.16586
304,transformer,3,50,A,B_Legal,-0.24367
305,transformer,3,50,A,B_Omitted,-0.2813
306,transformer,3,50,B,A_Illegal,-0.16586
307,transformer,3,50,B,A_Legal,-0.24367
308,transformer,3,50,B,A_Omitted,-0.2813
309,transformer,3,50,B,B_Illegal,0.23458
310,transformer,3,50,B,B_Legal,0.62886
312,transformer,3,60,A,A_Illegal,0.30672
313,transformer,3,60,A,A_Legal,0.59431
315,transformer,3,60,A,B_Illegal,-0.20931
316,transformer,3,60,A,B_Legal,-0.28237
317,transformer,3,60,A,B_Omitted,-0.31765
318,transformer,3,60,B,A_Illegal,-0.20931
319,transformer,3,60,B,A_Legal,-0.28237
320,transformer,3,60,B,A_Omitted,-0.31765
321,transformer,3,60,B,B_Illegal,0.29013
322,transformer,3,60,B,B_Legal,0.67234
324,transformer,3,70,A,A_Illegal,0.33588
325,transformer,3,70,A,A_Legal,0.62257
327,transformer,3,70,A,B_Illegal,-0.22452
328,transformer,3,70,A,B_Legal,-0.30076
329,transformer,3,70,A,B_Omitted,-0.3334
330,transformer,3,70,B,A_Illegal,-0.22452
331,transformer,3,70,B,A_Legal,-0.30076
332,transformer,3,70,B,A_Omitted,-0.3334
333,transformer,3,70,B,B_Illegal,0.30695
334,transformer,3,70,B,B_Legal,0.69947
336,transformer,3,80,A,A_Illegal,0.34214
337,transformer,3,80,A,A_Legal,0.63892
339,transformer,3,80,A,B_Illegal,-0.22272
340,transformer,3,80,A,B_Legal,-0.30757
341,transformer,3,80,A,B_Omitted,-0.3387
342,transformer,3,80,B,A_Illegal,-0.22272
343,transformer,3,80,B,A_Legal,-0.30757
344,transformer,3,80,B,A_Omitted,-0.3387
345,transformer,3,80,B,B_Illegal,0.29216
346,transformer,3,80,B,B_Legal,0.71626
348,transformer,3,90,A,A_Illegal,0.33298
349,transformer,3,90,A,A_Legal,0.64782
351,transformer,3,90,A,B_Illegal,-0.21168
352,transformer,3,90,A,B_Legal,-0.3086
353,transformer,3,90,A,B_Omitted,-0.33904
354,transformer,3,90,B,A_Illegal,-0.21168
355,transformer,3,90,B,A_Legal,-0.3086
356,transformer,3,90,B,A_Omitted,-0.33904
357,transformer,3,90,B,B_Illegal,0.25862
358,transformer,3,90,B,B_Legal,0.72738
